document,method,path,status,mcp_family,capability,rule
app-connections/openrouter/delete.mdx,DELETE,/api/v1/app-connections/open-router/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/openrouter/get-by-id.mdx,GET,/api/v1/app-connections/open-router/{connectionId},superseded,appConnections,appConnections.read,app-connections-provider-id-read-superseded
app-connections/openrouter/get-by-name.mdx,GET,/api/v1/app-connections/open-router/connection-name/{connectionName},superseded,appConnections,appConnections.read,app-connections-provider-name-read-superseded
app-connections/openrouter/list.mdx,GET,/api/v1/app-connections/open-router,superseded,appConnections,appConnections.read,app-connections-provider-list-superseded
app-connections/openrouter/update.mdx,PATCH,/api/v1/app-connections/open-router/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/options.mdx,GET,/api/v1/app-connections/options,superseded,appConnections,appConnections.read,app-connections-options-superseded
app-connections/oracledb/available.mdx,GET,/api/v1/app-connections/oracledb/available,superseded,appConnections,appConnections.read,app-connections-provider-availability-superseded
app-connections/oracledb/create.mdx,POST,/api/v1/app-connections/oracledb,intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/oracledb/delete.mdx,DELETE,/api/v1/app-connections/oracledb/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/oracledb/get-by-id.mdx,GET,/api/v1/app-connections/oracledb/{connectionId},superseded,appConnections,appConnections.read,app-connections-provider-id-read-superseded
app-connections/oracledb/get-by-name.mdx,GET,/api/v1/app-connections/oracledb/connection-name/{connectionName},superseded,appConnections,appConnections.read,app-connections-provider-name-read-superseded
app-connections/oracledb/list.mdx,GET,/api/v1/app-connections/oracledb,superseded,appConnections,appConnections.read,app-connections-provider-list-superseded
app-connections/oracledb/update.mdx,PATCH,/api/v1/app-connections/oracledb/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
